 delta_p[0][1]  delta_p[0][2]  delta_p[0][3]  delta_p[0][4]  delta_p[1][0]  delta_p[1][2]  delta_p[2][0]  delta_p[2][1]  delta_p[3][0]  delta_p[3][4]  delta_p[4][0]  delta_p[4][3] 
 6.462834830500697E-5  -7.896352969893883E-5  5.654889547201947E-5  -6.908527365112604E-5  -1.2039957988463357E-4  2.8424491560485876E-7  2.685308504979389E-5  -2.8424491560485876E-7  -1.1219644386528671E-4  2.486717676219996E-7  1.7097956799716485E-5  -2.486717676219996E-7 
 0.0012560125515719278  -0.00153519039670158  0.0012475454033307187  -0.001524685853027563  -0.0012125861182745723  5.5259080404823635E-6  0.001476718909099617  -5.5259080404823635E-6  -0.0012042190992787027  5.487553963234859E-6  0.0014663580741114401  -5.487553963234859E-6 
 0.001514354396935147  -0.0018516556246765958  0.0015144198089984684  -0.0018515693291760726  -0.0014669247258005669  6.664603528605539E-6  0.0017876082900976087  -6.664603528605539E-6  -0.001467111778168828  6.663522981398273E-6  0.001787685471470013  -6.663522981398273E-6 
 0.0016455597224016572  -0.002012847525854511  0.0016451801004535582  -0.002012178131636233  -0.0015938022843045019  7.2446183096985806E-6  0.0019429223736224799  -7.2446183096985806E-6  -0.0015935598155323305  7.241646201805452E-6  0.0019424378859440594  -7.241646201805452E-6 
 0.0017758114236521294  -0.002172994248692106  0.0017745855468547234  -0.002171254206530193  -0.0017194976142533847  7.820874603936545E-6  0.0020968840621904405  -7.820874603936545E-6  -0.0017184252626947227  7.814189928012638E-6  0.0020953521447211187  -7.814189928012638E-6 
 3.8946299238773463E-4  -4.767518457526876E-4  3.873310689925802E-4  -4.7408449556485266E-4  -4.704136437290174E-4  1.7158601224309677E-6  3.909452310821848E-4  -1.7158601224309677E-6  -4.680549078699414E-4  1.706247061861177E-6  3.885201184630205E-4  -1.706247061861177E-6 
 2.527741369782177E-4  -3.091901487408677E-4  2.4309238087028007E-4  -2.973099795866574E-4  -3.2681516350407946E-4  1.1129079240390638E-6  2.3088793102488125E-4  -1.1129079240390638E-6  -3.169240782057159E-4  1.070144861614608E-6  2.1924197848477434E-4  -1.070144861614608E-6 
 2.3866970389008202E-4  -2.9171383016901586E-4  2.2825919802471617E-4  -2.7895298843816363E-4  -3.060352399977262E-4  1.050011906755799E-6  2.2048048898781758E-4  -1.050011906755799E-6  -2.9542355508738183E-4  1.0040770348496153E-6  2.0794522937706006E-4  -1.0040770348496153E-6 
 2.3043399686173416E-4  -2.814318019765949E-4  2.1992732295927908E-4  -2.685633165242507E-4  -2.915172561266388E-4  1.013006176719955E-6  2.1684313681546996E-4  -1.013006176719955E-6  -2.808173231159117E-4  9.66682478065195E-7  2.0419097212709403E-4  -9.66682478065195E-7 
 1.7802171203129546E-4  -2.172534507209889E-4  1.6741772654427223E-4  -2.0428379518477868E-4  -2.326305934978734E-4  7.819999972014102E-7  1.6339630901285318E-4  -7.819999972014102E-7  -2.2184376189215982E-4  7.353108770757899E-7  1.5061723213705136E-4  -7.353108770757899E-7 
