New Delhi Delhi IND
December to December - daily simulation
28.58
216
Temp	WindVel	WindDir	SDirR	SDiffR	DTemp	DWVel	DWDir	DSDirR	DSDiffR	omega	Domega	Declination
14.1	3.1	311	0	0	0.1	0.2	4	0	0	0.0065	-0.0001	-23.35
14.2	3.3	315	0	0	0	-0.6	4	0	0	0.0064	0.0003	-23.35
14.2	2.7	319	0	0	-0.1	-0.7	0	0	0	0.0067	0	-23.35
14.1	2	319	0	0	-0.7	-0.9	-4	0	0	0.0067	0	-23.35
13.4	1.1	315	0	0	-0.9	-0.1	-9	0	0	0.0067	-0.0005	-23.35
12.5	1	306	0	0	-1.4	0.1	-9	0	0	0.0062	-0.0003	-23.35
11.1	1.1	297	0	0	-0.7	0.6	-5	0	0	0.0059	-0.0001	-23.35
10.4	1.7	292	0	0	-0.9	0	-18	0	0	0.0058	0	-23.35
9.5	1.7	274	0	0	0.3	-0.1	4	0	0	0.0058	0.0001	-23.35
9.8	1.6	278	0	0	1.6	0.1	14	0	0	0.0059	0.0002	-23.35
11.4	1.7	292	0	0	2.8	0.4	20	302	61	0.0061	0.0001	-23.35
14.2	2.1	312	302	61	3.1	0.8	5	577	-19	0.0062	0.0001	-23.35
17.3	2.9	317	879	42	2.9	1	-2	210	-17	0.0063	0	-23.35
20.2	3.9	315	1089	25	2	0.8	-8	-109	30	0.0063	0.0002	-23.35
22.2	4.7	307	980	55	1.3	0.2	8	53	-8	0.0065	-0.0002	-23.35
23.5	4.9	315	1033	47	0.3	-0.5	22	-132	30	0.0063	0.0003	-23.35
23.8	4.4	337	901	77	-0.1	-0.9	-330	-244	44	0.0066	0	-23.35
23.7	3.5	7	657	121	-1	-1.3	6	-359	30	0.0066	0.0003	-23.35
22.7	2.2	13	298	151	-1.5	-1.1	324	-170	-62	0.0069	0.0002	-23.35
21.2	1.1	337	128	89	-2.4	-0.7	-93	-128	-89	0.0071	0.0002	-23.35
18.8	0.4	244	0	0	-2.6	-0.4	-123	0	0	0.0073	-0.0002	-23.35
16.2	0	121	0	0	-2.6	0	-121	0	0	0.0071	-0.0001	-23.35
13.6	0	0	0	0	-1.7	0.1	0	0	0	0.007	-0.0002	-23.35
11.9	0.1	0	0	0	-0.9	0	0	0	0	0.0068	-0.0001	-23.35
11	0.1	0	0	0	0.4	-0.1	0	0	0	0.0067	-0.0001	-23.35
11.4	0	0	0	0	0.8	0	107	0	0	0.0066	0.0001	-23.35
12.2	0	107	0	0	1	0.2	111	0	0	0.0067	0	-23.35
13.2	0.2	218	0	0	0.2	0.4	74	0	0	0.0067	0	-23.35
13.4	0.6	292	0	0	-0.4	0.4	31	0	0	0.0067	-0.0003	-23.35
13	1	323	0	0	-1.3	0.5	-9	0	0	0.0064	-0.0002	-23.35
11.7	1.5	314	0	0	-1.3	-0.9	-22	0	0	0.0062	-0.0004	-23.35
10.4	0.6	292	0	0	-1.3	0.5	-276	0	0	0.0058	-0.0003	-23.35
9.1	1.1	16	0	0	0.6	0	2	0	0	0.0055	0	-23.35
9.7	1.1	18	0	0	0.9	0	274	0	0	0.0055	0.0001	-23.35
10.6	1.1	292	0	0	3.9	-0.6	-135	374	55	0.0056	0.0003	-23.35
14.5	0.5	157	374	55	3.3	0	-118	493	-12	0.0059	0.0004	-23.35
17.8	0.5	39	867	43	4	0.1	-39	67	9	0.0063	0.0005	-23.35
21.8	0.6	0	934	52	1.1	0.9	64	-322	94	0.0068	-0.0003	-23.35
22.9	1.5	64	612	146	1	0.6	141	-142	55	0.0065	0	-23.35
23.9	2.1	205	470	201	-1.1	0.7	155	130	-43	0.0065	-0.0003	-23.35
22.8	2.8	360	600	158	0.1	-0.5	-263	-226	32	0.0062	0.0001	-23.35
22.9	2.3	97	374	190	-1.3	-0.6	-2	-198	-31	0.0063	0.0003	-23.35
21.6	1.7	95	176	159	-0.6	-1.1	265	-95	-76	0.0066	0.0005	-23.35
21	0.6	360	81	83	-2.8	-0.5	-145	-81	-83	0.0071	0.0002	-23.35
18.2	0.1	215	0	0	-2	-0.1	-133	0	0	0.0073	0.0003	-23.35
16.2	0	82	0	0	-3	0	-82	0	0	0.0076	-0.0001	-23.35
13.2	0	0	0	0	-0.8	0	0	0	0	0.0075	-0.0001	-23.35
12.4	0	0	0	0	-1.4	0.2	0	0	0	0.0074	-0.0004	-23.35
11	0.2	0	0	0	0.4	-0.2	0	0	0	0.007	-0.0001	-23.35
11.4	0	0	0	0	-1	0.1	0	0	0	0.0069	-0.0002	-23.35
10.4	0.1	0	0	0	0.4	-0.1	0	0	0	0.0067	-0.0002	-23.35
10.8	0	0	0	0	-0.8	0	0	0	0	0.0065	-0.0002	-23.35
10	0	0	0	0	0.8	0	61	0	0	0.0063	-0.0001	-23.35
10.8	0	61	0	0	-0.6	0.4	109	0	0	0.0062	-0.0002	-23.35
10.2	0.4	170	0	0	-1.8	-0.4	-170	0	0	0.006	-0.0002	-23.35
8.4	0	0	0	0	-1.3	0.2	43	0	0	0.0058	-0.0002	-23.35
7.1	0.2	43	0	0	0.5	-0.2	-35	0	0	0.0056	0.0002	-23.35
7.6	0	8	0	0	1.6	0	-8	0	0	0.0058	0.0003	-23.35
9.2	0	0	0	0	4	0	0	55	50	0.0061	0.0004	-23.35
13.2	0	0	55	50	3.8	0.1	0	865	-14	0.0065	0.0002	-23.35
17	0.1	0	920	36	4	0.5	0	293	-27	0.0067	-0.0001	-23.35
21	0.6	0	1213	9	1.7	1	163	-106	19	0.0066	-0.0004	-23.35
22.7	1.6	163	1107	28	0.8	0.7	107	-32	10	0.0062	-0.0006	-23.35
