[0][1]	[0][2]	[0][3]	[0][4]	[1][0]	[1][2]	[2][0]	[2][1]	[3][0]	[3][4]	[4][0]	[4][3]	
18.54	-18.54	18.54	-18.54	-18.54	18.54	18.17	-18.54	-18.54	18.54	18.19	-18.54	
18.57	-18.57	18.57	-18.57	-18.57	18.57	18.53	-18.57	-18.57	18.57	18.53	-18.57	
18.60	-18.60	18.60	-18.60	-18.60	18.60	18.56	-18.60	-18.60	18.60	18.56	-18.60	
18.63	-18.63	18.63	-18.63	-18.63	18.63	18.58	-18.63	-18.63	18.63	18.58	-18.63	
18.65	-18.65	18.65	-18.65	-18.65	18.65	18.61	-18.65	-18.65	18.65	18.61	-18.65	
18.67	-18.67	18.67	-18.67	-18.67	18.67	18.63	-18.67	-18.67	18.67	18.63	-18.67	
18.68	-18.68	18.68	-18.68	-18.68	18.68	18.64	-18.68	-18.68	18.68	18.64	-18.68	
18.70	-18.70	18.70	-18.70	-18.70	18.70	18.65	-18.70	-18.70	18.70	18.65	-18.70	
18.71	-18.71	18.71	-18.71	-18.71	18.71	18.67	-18.71	-18.71	18.71	18.67	-18.71	
18.72	-18.72	18.72	-18.72	-18.72	18.72	18.68	-18.72	-18.72	18.72	18.68	-18.72	
18.73	-18.73	18.73	-18.73	-18.73	18.73	18.69	-18.73	-18.73	18.73	18.69	-18.73	
18.74	-18.74	18.74	-18.74	-18.74	18.74	18.70	-18.74	-18.74	18.74	18.70	-18.74	
18.75	-18.75	18.75	-18.75	-18.75	18.75	18.70	-18.75	-18.75	18.75	18.70	-18.75	
18.75	-18.75	18.75	-18.75	-18.75	18.75	18.71	-18.75	-18.75	18.75	18.71	-18.75	
18.74	-18.74	18.74	-18.74	-18.74	18.74	18.70	-18.74	-18.74	18.74	18.70	-18.74	
18.74	-18.74	18.74	-18.74	-18.74	18.74	18.70	-18.74	-18.74	18.74	18.70	-18.74	
